readcode,readterm,cat
B34z.,Malignant neoplasm of female breast NOS,Any malignancy
Byu33,"[X]Malignant neoplasm/bone+articular cartilage, unspecified",Any malignancy
BB08.,"[M]Malignant tumour, small cell type",Any malignancy
C37y8,Haemophagocytic lymphohistiocytosis,Any malignancy
BBg7.,"[M]Malignant lymphoma, lymphoplasmacytoid type",Any malignancy
B52y.,Malignant neoplasm of other specified part of nervous system,Any malignancy
2061,MONOCYTIC LEUKAEMIA CHRONIC,Any malignancy
BB5W1,[M]Hurthle cell adenocarcinoma,Any malignancy
B18..,Malignant neoplasm of retroperitoneum and peritoneum,Any malignancy
B8100,Carcinoma in situ of thyroid cartilage,Any malignancy
1520B,SARCOMA DUODENUM,Any malignancy
Byu9.,[X]Malignant neoplasm of urinary tract,Any malignancy
B824.,Carcinoma in situ of scalp and skin of neck,Any malignancy
BB5R9,[M]Neuroendocrine carcinoma,Any malignancy
1959B,MALIGNANT NEOPLASM FLANK,Any malignancy
B66y0,Aleukaemic monocytic leukaemia,Any malignancy
BBK36,[M]Sarcoma botryoides,Any malignancy
B623.,Malignant histiocytosis,Any malignancy
B8073,Carcinoma in situ of Meckel's diverticulum,Any malignancy
B618.,Nodular sclerosis classical Hodgkin lymphoma,Any malignancy
B505.,Malignant neoplasm of retina,Any malignancy
BBh..,[M]Reticulosarcomas,Any malignancy
BBl0.,[M]Mycosis fungoides,Any malignancy
BB02.,"[M]Neoplasm, malignant",Any malignancy
BB9E.,[M]Lobular carcinoma in situ,Any malignancy
B51z.,Malignant neoplasm of brain NOS,Any malignancy
B67y0,Lymphosarcoma cell leukaemia,Any malignancy
B150z,Primary malignant neoplasm of liver NOS,Any malignancy
BBE1.,[M]Melanosarcoma NOS,Any malignancy
208,POLYCYTHAEMIA,Any malignancy
B4Ay0,Malignant neoplasm of overlapping lesion of urinary organs,Any malignancy
BB80.,[M]Cystadenoma and carcinoma,Any malignancy
B326.,Malignant melanoma of upper limb and shoulder,Any malignancy
B333.,Malignant neoplasm skin of other and unspecified parts face,Any malignancy
BB5f1,[M]Follicular adenocarcinoma NOS,Any malignancy
1602A,MALIGNANT NEOPLASM ANTRUM/MAXILLARY SINU,Any malignancy
B3041,Malignant neoplasm of acromion,Any malignancy
BBE1.,[M]Melanoma NOS,Any malignancy
B6133,"Hodgkin's, lymphocytic-histiocytic pred intra-abdominal node",Any malignancy
A7896,HIV disease resulting in Burkitt's lymphoma,Any malignancy
BB2C.,"[M]Squamous cell carcinoma, keratinising type NOS",Any malignancy
BBrA3,[M]Granulocytic sarcoma,Any malignancy
144 C,CARCINOMA MOUTH FLOOR,Any malignancy
B3115,Malignant neoplasm of connective and soft tissue of thumb,Any malignancy
B32y.,Malignant melanoma of other specified skin site,Any malignancy
ZV104,[V]Personal history of malignant neoplasm of genital organ,Any malignancy
1551C,CHOLANGIO CARCINOMA,Any malignancy
B804z,Carcinoma in situ of rectum or rectosigmoid junction NOS,Any malignancy
BB520,[M]Adenocarcinoma in tubulovillous adenoma,Any malignancy
B3360,Malignant neoplasm of skin of shoulder,Any malignancy
1419C,TONGUE CARCINOMA,Any malignancy
BB91.,[M]Infiltrating duct carcinoma,Any malignancy
B833.,Carcinoma in situ other and unspecified female genital organ,Any malignancy
BBj9.,[M]Hodgkin's granuloma,Any malignancy
B6531,Granulocytic sarcoma,Any malignancy
B18z.,Malignant neoplasm of retroperitoneum and peritoneum NOS,Any malignancy
B8070,Carcinoma in situ of duodenum,Any malignancy
B314.,Malignant neoplasm of connective and soft tissue of abdomen,Any malignancy
BBJ3.,"[M]Liposarcoma, well differentiated type",Any malignancy
1925G,MALIGNANT GANGLIONEUROMA,Any malignancy
1959D,MALIGNANT NEOPLASM ANKLE,Any malignancy
1735C,CARCINOMA SCROTUM,Any malignancy
B5501,Malignant neoplasm of cheek NOS,Any malignancy
B68z.,Leukaemia NOS,Any malignancy
ZV101,[V]Personal history of malignant neoplasm of trachea,Any malignancy
B64y1,Prolymphocytic leukaemia,Any malignancy
B471.,Malignant neoplasm of descended testis,Any malignancy
B315z,Malig neop of connective and soft tissue of pelvis NOS,Any malignancy
B2...,Carcinoma of respiratory tract and intrathoracic organs,Any malignancy
B451.,Malignant neoplasm of labia majora,Any malignancy
B627C,Follicular non-Hodgkin's lymphoma,Any malignancy
B61z0,"Hodgkin's disease NOS, unspecified site",Any malignancy
B3055,Malignant neoplasm of carpal bone - trapezoid,Any malignancy
B8041,Carcinoma in situ of rectum,Any malignancy
B62y2,Malignant lymphoma NOS of intrathoracic lymph nodes,Any malignancy
BBn2.,[M]Plasmacytoma NOS,Any malignancy
B3102,Malignant neoplasm of soft tissue of neck,Any malignancy
1711A,MALIGNANT NEOPLASM HEART,Any malignancy
B8y..,Carcinoma in situ of other and unspecified sites,Any malignancy
1560A,MALIGNANT NEOPLASM GALLBLADDER,Any malignancy
B823.,Carcinoma in situ of skin of other parts of face,Any malignancy
BBgC.,[M]Lymphocytic lymphoma NOS,Any malignancy
BBV3.,[M]Fibroblastic osteosarcoma,Any malignancy
B32y0,Overlapping malignant melanoma of skin,Any malignancy
B0710,Malignant neoplasm of adenoid,Any malignancy
B3275,Malignant melanoma of ankle,Any malignancy
B5102,Malignant neoplasm of corpus striatum,Any malignancy
B18yz,Malignant neoplasm of specified parts of peritoneum NOS,Any malignancy
B6168,Hodgkin's lymphocytic depletion lymph nodes multiple sites,Any malignancy
B0110,Malignant neoplasm of anterior 2/3 of tongue dorsal surface,Any malignancy
B180.,Malignant neoplasm of retroperitoneum,Any malignancy
B6007,Reticulosarcoma of spleen,Any malignancy
B2414,Mesothelioma of pericardium,Any malignancy
B8yy3,Carcinoma in situ of pituitary gland,Any malignancy
1601A,MALIGNANT NEOPLASM MASTOID,Any malignancy
B222.,Pancoast's syndrome,Any malignancy
B4501,Malignant neoplasm of vaginal vault,Any malignancy
B412.,"Malignant neoplasm, overlapping lesion of cervix uteri",Any malignancy
B6113,Hodgkin's granuloma of intra-abdominal lymph nodes,Any malignancy
B5232,Malignant neoplasm of spinal pia mater,Any malignancy
B3124,Malignant neoplasm of connective and soft tissue of foot,Any malignancy
Byu5A,[X]Malignant neoplasm overlapping lesion of skin,Any malignancy
B057.,Overlapping lesion of other and unspecified parts of mouth,Any malignancy
1959D,MALIGNANT NEOPLASM KNEE,Any malignancy
201 G,HODGKIN'S GRANULOMA,Any malignancy
BB1P.,[M]Non-small cell carcinoma,Any malignancy
BBV..,[M]Juxtacortical osteogenic sarcoma,Any malignancy
BB5S4,[M]Alveolar adenocarcinoma,Any malignancy
ZV105,[V]Personal history of malignant neoplasm of kidney,Any malignancy
B443.,Malignant neoplasm of parametrium,Any malignancy
B6215,Mycosis fungoides of lymph nodes of inguinal region and leg,Any malignancy
B324z,Malignant melanoma of scalp and neck NOS,Any malignancy
ZV104,[V]Personal history of malignant neoplasm of uterine body,Any malignancy
BBE2.,[M]Nodular melanoma,Any malignancy
B6266,Mast cell malignancy of intrapelvic lymph nodes,Any malignancy
ZV10y,[V]Personal history of malignant neoplasm of bone,Any malignancy
BBgP.,"[M]Malignant lymphoma, mixed small and large cell, diffuse",Any malignancy
B003.,"Malignant neoplasm of lower lip, inner aspect",Any malignancy
B65yz,Other myeloid leukaemia NOS,Any malignancy
BB26.,[M]Papillary squamous cell carcinoma,Any malignancy
BBj..,[M]Hodgkin's disease,Any malignancy
BBj0.,"[M]Lymphogranuloma, malignant",Any malignancy
B3320,Malignant neoplasm of skin of auricle (ear),Any malignancy
B8284,Melanoma in situ of trunk,Any malignancy
BBgE.,"[M]Malignant lymphoma, centrocytic",Any malignancy
B8085,Carcinoma in situ of common bile duct,Any malignancy
B8301,Intraductal carcinoma in situ of breast,Any malignancy
1929A,ASTROCYTOMA,Any malignancy
B22z.,Malignant neoplasm of bronchus or lung NOS,Any malignancy
B0510,Malignant neoplasm of upper buccal sulcus,Any malignancy
B340z,Malignant neoplasm of nipple or areola of female breast NOS,Any malignancy
BBR2.,[M]Choriocarcinoma,Any malignancy
B6112,Hodgkin's granuloma of intrathoracic lymph nodes,Any malignancy
B625z,Letterer-Siwe disease NOS,Any malignancy
B4700,Malignant neoplasm of ectopic testis,Any malignancy
B8083,Carcinoma in situ of gall bladder,Any malignancy
B50..,Malignant neoplasm of eye,Any malignancy
208 R,POLYCYTHAEMIA RUBRA VERA,Any malignancy
B61z6,Hodgkin's disease NOS of intrapelvic lymph nodes,Any malignancy
1892C,CARCINOMA URETER,Any malignancy
B6121,"Hodgkin's sarcoma of lymph nodes of head, face and neck",Any malignancy
B8002,Carcinoma in situ of salivary glands,Any malignancy
BBZC.,[M]Ameloblastic odontosarcoma,Any malignancy
B6013,Lymphosarcoma of intra-abdominal lymph nodes,Any malignancy
B00z1,"Malignant neoplasm of lip, unspecified, lipstick area",Any malignancy
2020F,LYMPHOID FOLLICULAR RETICULOSIS,Any malignancy
B222.,"Malignant neoplasm of upper lobe, bronchus or lung",Any malignancy
B5150,Malignant neoplasm of choroid plexus,Any malignancy
B4Ay.,Malignant neoplasm of other urinary organs,Any malignancy
B3331,Malignant neoplasm of skin of chin,Any malignancy
B5071,Malignant neoplasm of nasolacrimal duct,Any malignancy
B627D,Diffuse non-Hodgkin's centroblastic lymphoma,Any malignancy
BB5Dz,[M]Hepatobiliary adenoma or carcinoma NOS,Any malignancy
ZV104,[V]Personal history of malignant neoplasm of genital organ,Any malignancy
BBg4.,"[M]Malignant lymphoma, stem cell type",Any malignancy
150 C,OESOPHAGUS CARCINOMA,Any malignancy
B45z.,Malignant neoplasm of female genital organ NOS,Any malignancy
B6161,"Hodgkin's lymphocytic depletion of head, face and neck",Any malignancy
BB32.,[M]Multicentric basal cell carcinoma,Any malignancy
1731A,MALIGNANT NEOPLASM EYELID,Any malignancy
B6263,Mast cell malignancy of intra-abdominal lymph nodes,Any malignancy
B004z,"Malignant neoplasm of lip, inner aspect NOS",Any malignancy
B8360,Carcinoma in situ of testis,Any malignancy
BB5..,[M]Adenomas and adenocarcinomas,Any malignancy
BB5M.,[M]Tubular adenomas and adenocarcinomas,Any malignancy
B68y.,Other leukaemia of unspecified cell type,Any malignancy
B17yz,Malignant neoplasm of specified site of pancreas NOS,Any malignancy
2050M,LEUKAEMIA MYELOMONOCYTIC ACUTE,Any malignancy
BBG3.,[M]Fibromyxosarcoma,Any malignancy
B24..,"Malignant neoplasm of thymus, heart and mediastinum",Any malignancy
B3022,Malignant neoplasm of lumbar vertebra,Any malignancy
B62F0,Small cell B-cell lymphoma,Any malignancy
203 H,HEAVY-CHAIN DISEASE (IGG TYPE),Any malignancy
B62E9,Angioimmunoblastic T-cell lymphoma,Any malignancy
ZV67A,[V]Folow-up exam aft other treatment for malignant neoplasm,Any malignancy
B2241,Malignant neoplasm of lower lobe of lung,Any malignancy
1538A,MALIGNANT NEOPLASM LARGE INTESTINE,Any malignancy
1735A,MALIGNANT NEOPLASM SCROTUM,Any malignancy
1950A,MALIGNANT NEOPLASM ABDOMEN,Any malignancy
B8281,"Melanoma in situ of eyelid, including canthus",Any malignancy
8CP0.,Cancer care plan discussed with patient,Any malignancy
ByuA3,"[X]Malig neopl, overlap lesion brain & other part of CNS",Any malignancy
B6162,Hodgkin's lymphocytic depletion of intrathoracic lymph nodes,Any malignancy
B3233,Malignant melanoma of forehead,Any malignancy
B49z.,Malignant neoplasm of urinary bladder NOS,Any malignancy
BB4z.,[M]Transitional cell papilloma or carcinoma NOS,Any malignancy
B6000,Reticulosarcoma of unspecified site,Any malignancy
B3364,Malignant neoplasm of skin of finger,Any malignancy
B....,Neoplasms,Any malignancy
Byu6.,[X]Malignant neoplasm of breast,Any malignancy
B491.,Malignant neoplasm of dome of urinary bladder,Any malignancy
B6025,Burkitt's lymphoma of lymph nodes of inguinal region and leg,Any malignancy
B613z,"Hodgkin's, lymphocytic-histiocytic predominance NOS",Any malignancy
B205.,Malignant neoplasm of sphenoidal sinus,Any malignancy
Byu..,[X]Additional neoplasm classification terms,Any malignancy
ZV102,[V]Personal history of malig neop other intrathoracic organ,Any malignancy
B5503,Malignant neoplasm of jaw NOS,Any malignancy
B6116,Hodgkin's granuloma of intrapelvic lymph nodes,Any malignancy
B6202,Nodular lymphoma of intrathoracic lymph nodes,Any malignancy
B6y..,Malignant neoplasm lymphatic or haematopoietic tissue OS,Any malignancy
B304.,Malignant neoplasm of scapula and long bones of upper arm,Any malignancy
B4510,Malignant neoplasm of greater vestibular (Bartholin's) gland,Any malignancy
B6122,Hodgkin's sarcoma of intrathoracic lymph nodes,Any malignancy
B03y.,Malignant neoplasm of other sites of gum,Any malignancy
B6241,"Leukaemic reticuloend of lymph nodes of head, face and neck",Any malignancy
B18y6,Malignant neoplasm of the pouch of Douglas,Any malignancy
B300z,Malignant neoplasm of bones of skull and face NOS,Any malignancy
BBm1.,[M]Malignant reticulosis,Any malignancy
B48..,Malignant neoplasm of penis and other male genital organs,Any malignancy
B6257,Letterer-Siwe disease of spleen,Any malignancy
B3105,Malignant neoplasm soft tissues of cervical spine,Any malignancy
B48y2,"Malignant neoplasm, overlapping lesion male genital orgs",Any malignancy
B062z,Malignant neoplasm of tonsillar fossa NOS,Any malignancy
1538B,SARCOMA COLON,Any malignancy
BBj11,"[M]Hodgkin,s disease, lymphocytic predominance, nodular",Any malignancy
4M21.,Lymphoma stage II,Any malignancy
BBj62,"[M]Hodgkin,s disease, nodular sclerosis, lymphocytic deplet",Any malignancy
B68..,Leukaemia of unspecified cell type,Any malignancy
1890R,SARCOMA KIDNEY,Any malignancy
BB5W1,[M]Oncytic adenocarcinoma,Any malignancy
B0550,Malignant neoplasm of junction of hard and soft palate,Any malignancy
B625.,Letterer-Siwe disease,Any malignancy
B513.,Malignant neoplasm of parietal lobe,Any malignancy
ZV100,[V]Personal history of malig neop of gastrointestinal tract,Any malignancy
B0511,Malignant neoplasm of lower buccal sulcus,Any malignancy
B8258,Carcinoma in situ of perianal skin,Any malignancy
B11..,Gastric neoplasm,Any malignancy
1870A,MALIGNANT NEOPLASM PENIS,Any malignancy
B44..,Malignant neoplasm of ovary and other uterine adnexa,Any malignancy
1959D,MALIGNANT NEOPLASM LEG,Any malignancy
B1502,Primary angiosarcoma of liver,Any malignancy
2041,LYMPHATIC LEUKAEMIA CHRONIC,Any malignancy
B61z1,"Hodgkin's disease NOS of lymph nodes of head, face and neck",Any malignancy
B6148,Hodgkin's nodular sclerosis of lymph nodes of multiple sites,Any malignancy
2072E,ERYTHROLEUKAEMIA,Any malignancy
B05..,Malignant neoplasm of other and unspecified parts of mouth,Any malignancy
B62A.,Sarcoma of dendritic cells,Any malignancy
1533A,MALIGNANT NEOPLASM SIGMOID,Any malignancy
BBg2.,[M]Non Hodgkins lymphoma,Any malignancy
B515z,Malignant neoplasm of cerebral ventricle NOS,Any malignancy
B8261,Carcinoma in situ of skin of upper arm,Any malignancy
1579C,CARCINOMA ISLETS OF  LANGERHANS,Any malignancy
BBX1.,"[M]Osteoclastoma, malignant",Any malignancy
BBN1.,[M]Synovial sarcoma NOS,Any malignancy
B18y.,Malignant neoplasm of specified parts of peritoneum,Any malignancy
BB5L3,[M]Adenocarcinoma in multiple adenomatous polyps,Any malignancy
B6302,Plasmacytoma NOS,Any malignancy
B311.,Malig neop connective and soft tissue upper limb/shoulder,Any malignancy
B6268,Mast cell malignancy of lymph nodes of multiple sites,Any malignancy
B055.,Malignant neoplasm of palate unspecified,Any malignancy
ByuA1,"[X]Malignant neoplasm/central nervous system, unspecified",Any malignancy
149 C,CARCINOMA THROAT,Any malignancy
180 C,CERVIX UTERI CARCINOMA,Any malignancy
B2410,Malignant neoplasm of endocardium,Any malignancy
B525.,Malignant neoplasm of cauda equina,Any malignancy
B11y.,Malignant neoplasm of other specified site of stomach,Any malignancy
B805.,Carcinoma in situ of anal canal,Any malignancy
BBJ5.,[M]Myxoliposarcoma,Any malignancy
ByuD3,[X]Other specified types of non-Hodgkin's lymphoma,Any malignancy
B3340,Malignant neoplasm of scalp,Any malignancy
B6117,Hodgkin's granuloma of spleen,Any malignancy
188 R,RHABDOMYOSARCOMA URINARY BLADDER,Any malignancy
B8yy0,Carcinoma in situ of thyroid gland,Any malignancy
ByuD7,[X]Other monocytic leukaemia,Any malignancy
F3962,Myopathy due to malignant disease,Any malignancy
1618A,MALIGNANT NEOPLASM EPIGLOTTIS,Any malignancy
B3031,Malignant neoplasm of sternum,Any malignancy
B5212,Malignant neoplasm of cerebral pia mater,Any malignancy
1O0..,Cancer confirmed,Any malignancy
BBQ3.,[M]Embryonal carcinoma NOS,Any malignancy
BBE11,"[M]Desmoplastic melanoma, malignant",Any malignancy
1829C,CARCINOMA UTERUS,Any malignancy
BBLJ.,[M]Clear cell sarcoma of kidney,Any malignancy
2104C,ACANTHOAMELOBLASTOMA,Any malignancy
B33..,Epithelioma,Any malignancy
B523.,Malignant neoplasm of spinal meninges,Any malignancy
B6y1.,Myelosclerosis with myeloid metaplasia,Any malignancy
B3150,Malignant neoplasm of connective and soft tissue of buttock,Any malignancy
B551z,Malignant neoplasm of thorax NOS,Any malignancy
BBgH.,[M]Prolymphocytic lymphosarcoma,Any malignancy
BBmK.,[M]Waldenstrom's macroglobulinaemia,Any malignancy
B124.,"Malignant neoplasm, overlapping lesion of small intestine",Any malignancy
BBV..,[M]Periosteal osteogenic sarcoma,Any malignancy
ZV103,[V]Personal history of malignant neoplasm of breast,Any malignancy
B515.,Malignant neoplasm of cerebral ventricles,Any malignancy
B08y.,Malignant neoplasm of other specified hypopharyngeal site,Any malignancy
B3354,Malignant neoplasm of skin of umbilicus,Any malignancy
BB5Uz,[M]Villous adenoma or adenocarcinoma NOS,Any malignancy
B3104,Malignant neoplasm of tarsus of eyelid,Any malignancy
1480C,POSTCRICOID CARCINOMA,Any malignancy
BBV..,[M]Parosteal osteosarcoma,Any malignancy
B135.,Malignant neoplasm of appendix,Any malignancy
2022M,MALIGNANT LYMPHOMA,Any malignancy
B3110,Malignant neoplasm of connective and soft tissue of shoulder,Any malignancy
B0621,Malignant neoplasm of glossopalatine fold,Any malignancy
B431z,Malignant neoplasm of isthmus of uterine body NOS,Any malignancy
B160.,Malignant neoplasm of gallbladder,Any malignancy
B6130,"Hodgkin's, lymphocytic-histiocytic predominance unspec site",Any malignancy
BB5a0,[M]Renal cell carcinoma,Any malignancy
B6234,Malignant histiocytosis of lymph nodes of axilla and arm,Any malignancy
1419A,LINGUAL/TONGUE CANCER,Any malignancy
B55z.,Malignant neoplasm of other and ill defined site NOS,Any malignancy
B3044,Malignant neoplasm of ulna,Any malignancy
B18y1,Malignant neoplasm of mesocaecum,Any malignancy
1719B,SARCOMA,Any malignancy
B120.,Malignant neoplasm of duodenum,Any malignancy
BBp2.,[M]Malignant mastocytosis,Any malignancy
B3114,Malignant neoplasm of connective and soft tissue of finger,Any malignancy
BBEA.,[M]Amelanotic melanoma,Any malignancy
B06..,Malignant neoplasm of oropharynx,Any malignancy
BB9M.,[M]Intracystic carcinoma NOS,Any malignancy
B54y.,Malignant neoplasm of other specified endocrine gland,Any malignancy
